#			1
BWJI   33.10    1.000   S
SMRI   33.40    1.000   P
JAGI   37.50    1.000   P
KMMI   43.70    1.000   S
#			66
PCJI   19.20    1.000   P
WOJI   22.10    1.000   P
SWJI   29.30    1.000   P
SCJI   30.50    1.000   P
PCJI   33.20    1.000   S
KPJI   36.90    1.000   P
WOJI   37.80    1.000   S
CTJI   37.90    1.000   P
TBJI   40.50    1.000   P
GRJI   44.20    1.000   P
GMJI   45.10    1.000   P
BLJI   50.20    1.000   P
SWJI   51.60    1.000   S
SCJI   53.40    1.000   S
JAGI   53.90    1.000   P
KMMI   58.30    1.000   P
KPJI   65.40    1.000   S
SKJI   65.80    1.000   P
CTJI   68.00    1.000   S
CGJI   77.80    1.000   P
JAGI   94.80    1.000   S
#			67
PCJI   11.20    1.000   P
PWJI   19.40    1.000   P
SWJI   23.60    1.000   P
PWJI   35.30    1.000   S
SWJI   41.50    1.000   S
#			68
GMJI   31.20    1.000   P
JAGI   32.70    1.000   P
PWJI   35.50    1.000   P
BYJI   37.20    1.000   P
BLJI   38.30    1.000   P
PCJI   40.60    1.000   P
SWJI   41.10    1.000   P
GMJI   56.30    1.000   S
KPJI   70.10    1.000   P
PCJI   73.20    1.000   S
WOJI   83.20    1.000   P
#			69
PWJI   17.90    1.000   P
PCJI   20.60    1.000   P
SWJI   22.40    1.000   P
GMJI   23.00    1.000   P
WOJI   27.20    1.000   P
BLJI   30.90    1.000   P
PWJI   31.40    1.000   S
JAGI   31.60    1.000   P
GRJI   34.10    1.000   P
PCJI   36.70    1.000   S
WOJI   47.80    1.000   S
#			70
GMJI   40.40    1.000   P
PWJI   41.40    1.000   P
PCJI   41.80    1.000   P
JAGI   43.20    1.000   P
SWJI   45.30    1.000   P
WOJI   48.40    1.000   P
BLJI   49.50    1.000   P
GMJI   69.90    1.000   S
KPJI   71.70    1.000   P
PCJI   74.70    1.000   S
JAGI   74.80    1.000   S
BLJI   84.90    1.000   S
WOJI   86.40    1.000   S
CBJI   99.70    1.000   P
GRJI   101.40    1.000   P
CTJI   127.00    1.000   P
KPJI   127.50    1.000   S
#			71
PCJI   16.70    1.000   P
PWJI   17.00    1.000   P
SWJI   21.50    1.000   P
WOJI   23.70    1.000   P
PCJI   29.10    1.000   S
PWJI   29.30    1.000   S
GMJI   30.40    1.000   P
JAGI   37.40    1.000   P
SWJI   38.80    1.000   S
WOJI   41.60    1.000   S
GMJI   51.30    1.000   S
#			72
GMJI   20.60    1.000   P
PWJI   24.70    1.000   P
JAGI   26.10    1.000   P
SWJI   27.20    1.000   P
PCJI   30.40    1.000   P
GRJI   31.50    1.000   P
KMMI   34.30    1.000   P
WOJI   35.00    1.000   P
TBJI   35.60    1.000   P
GMJI   35.80    1.000   S
SMRI   45.20    1.000   P
SCJI   56.60    1.000   P
KPJI   60.90    1.000   P
#			73
WOJI   25.50    1.000   P
SMRI   32.50    1.000   P
PWJI   33.20    1.000   P
SWJI   36.20    1.000   P
WOJI   44.00    1.000   S
